C# Script execution engine. Version 3.5.9.0.
Copyright (C) 2004-2013 Oleg Shilo.


Press 'Enter' to start...
CSScript.Evaluator - CreateDelegate

 Cycle = 0000: MemoryPrivateBytes = 27092 KB;  AppDomainAssemblies = 14  

 Cycle = 0010: MemoryPrivateBytes = 26812 KB;  AppDomainAssemblies = 16  
 Cycle = 0020: MemoryPrivateBytes = 27496 KB;  AppDomainAssemblies = 22  
 Cycle = 0030: MemoryPrivateBytes = 28652 KB;  AppDomainAssemblies = 23  
 Cycle = 0040: MemoryPrivateBytes = 28852 KB;  AppDomainAssemblies = 22  
 Cycle = 0050: MemoryPrivateBytes = 29052 KB;  AppDomainAssemblies = 23  
 Cycle = 0060: MemoryPrivateBytes = 29272 KB;  AppDomainAssemblies = 22  
 Cycle = 0070: MemoryPrivateBytes = 29588 KB;  AppDomainAssemblies = 23  
 Cycle = 0080: MemoryPrivateBytes = 30240 KB;  AppDomainAssemblies = 22  
 Cycle = 0090: MemoryPrivateBytes = 30752 KB;  AppDomainAssemblies = 23  
 Cycle = 0100: MemoryPrivateBytes = 31112 KB;  AppDomainAssemblies = 26  
 Cycle = 0110: MemoryPrivateBytes = 31592 KB;  AppDomainAssemblies = 23  
 Cycle = 0120: MemoryPrivateBytes = 31988 KB;  AppDomainAssemblies = 23  
 Cycle = 0130: MemoryPrivateBytes = 32624 KB;  AppDomainAssemblies = 22  
 Cycle = 0140: MemoryPrivateBytes = 32924 KB;  AppDomainAssemblies = 21  
 Cycle = 0150: MemoryPrivateBytes = 33544 KB;  AppDomainAssemblies = 20  
 Cycle = 0160: MemoryPrivateBytes = 34108 KB;  AppDomainAssemblies = 22  
 Cycle = 0170: MemoryPrivateBytes = 34676 KB;  AppDomainAssemblies = 20  
 Cycle = 0180: MemoryPrivateBytes = 34944 KB;  AppDomainAssemblies = 22  
 Cycle = 0190: MemoryPrivateBytes = 35480 KB;  AppDomainAssemblies = 19  
 Cycle = 0200: MemoryPrivateBytes = 36280 KB;  AppDomainAssemblies = 20  
 Cycle = 0210: MemoryPrivateBytes = 36568 KB;  AppDomainAssemblies = 22  
 Cycle = 0220: MemoryPrivateBytes = 37188 KB;  AppDomainAssemblies = 23  
 Cycle = 0230: MemoryPrivateBytes = 37596 KB;  AppDomainAssemblies = 33  
 Cycle = 0240: MemoryPrivateBytes = 38048 KB;  AppDomainAssemblies = 23  
 Cycle = 0250: MemoryPrivateBytes = 39052 KB;  AppDomainAssemblies = 23  

 Cycle = 0260: MemoryPrivateBytes = 39344 KB;  AppDomainAssemblies = 33  
 Cycle = 0270: MemoryPrivateBytes = 39696 KB;  AppDomainAssemblies = 22  
 Cycle = 0280: MemoryPrivateBytes = 40128 KB;  AppDomainAssemblies = 21  
 Cycle = 0290: MemoryPrivateBytes = 40452 KB;  AppDomainAssemblies = 23  
 Cycle = 0300: MemoryPrivateBytes = 40664 KB;  AppDomainAssemblies = 19  
 Cycle = 0310: MemoryPrivateBytes = 41180 KB;  AppDomainAssemblies = 18  
 Cycle = 0320: MemoryPrivateBytes = 42256 KB;  AppDomainAssemblies = 17  
 Cycle = 0330: MemoryPrivateBytes = 42544 KB;  AppDomainAssemblies = 18  
 Cycle = 0340: MemoryPrivateBytes = 42908 KB;  AppDomainAssemblies = 22  
 Cycle = 0350: MemoryPrivateBytes = 43556 KB;  AppDomainAssemblies = 23  
 Cycle = 0360: MemoryPrivateBytes = 43772 KB;  AppDomainAssemblies = 30  
 Cycle = 0370: MemoryPrivateBytes = 44132 KB;  AppDomainAssemblies = 23  
 Cycle = 0380: MemoryPrivateBytes = 45068 KB;  AppDomainAssemblies = 21  
 Cycle = 0390: MemoryPrivateBytes = 45484 KB;  AppDomainAssemblies = 18  
 Cycle = 0400: MemoryPrivateBytes = 45876 KB;  AppDomainAssemblies = 20  
 Cycle = 0410: MemoryPrivateBytes = 46572 KB;  AppDomainAssemblies = 23  
 Cycle = 0420: MemoryPrivateBytes = 46772 KB;  AppDomainAssemblies = 32  
 Cycle = 0430: MemoryPrivateBytes = 47632 KB;  AppDomainAssemblies = 23  
 Cycle = 0440: MemoryPrivateBytes = 48324 KB;  AppDomainAssemblies = 23  
 Cycle = 0450: MemoryPrivateBytes = 48572 KB;  AppDomainAssemblies = 16  
 Cycle = 0460: MemoryPrivateBytes = 49292 KB;  AppDomainAssemblies = 24  
 Cycle = 0470: MemoryPrivateBytes = 49424 KB;  AppDomainAssemblies = 33  
 Cycle = 0480: MemoryPrivateBytes = 50028 KB;  AppDomainAssemblies = 27  
 Cycle = 0490: MemoryPrivateBytes = 50208 KB;  AppDomainAssemblies = 33  
 Cycle = 0500: MemoryPrivateBytes = 51760 KB;  AppDomainAssemblies = 27  

 Cycle = 0510: MemoryPrivateBytes = 51924 KB;  AppDomainAssemblies = 33  
 Cycle = 0520: MemoryPrivateBytes = 52324 KB;  AppDomainAssemblies = 27  
 Cycle = 0530: MemoryPrivateBytes = 52456 KB;  AppDomainAssemblies = 33  
 Cycle = 0540: MemoryPrivateBytes = 53208 KB;  AppDomainAssemblies = 26  
 Cycle = 0550: MemoryPrivateBytes = 53312 KB;  AppDomainAssemblies = 33  
 Cycle = 0560: MemoryPrivateBytes = 54060 KB;  AppDomainAssemblies = 26  
 Cycle = 0570: MemoryPrivateBytes = 54488 KB;  AppDomainAssemblies = 33  
 Cycle = 0580: MemoryPrivateBytes = 54904 KB;  AppDomainAssemblies = 26  
 Cycle = 0590: MemoryPrivateBytes = 55032 KB;  AppDomainAssemblies = 33  
 Cycle = 0600: MemoryPrivateBytes = 55844 KB;  AppDomainAssemblies = 25  
 Cycle = 0610: MemoryPrivateBytes = 56704 KB;  AppDomainAssemblies = 33  
 Cycle = 0620: MemoryPrivateBytes = 56996 KB;  AppDomainAssemblies = 23  
 Cycle = 0630: MemoryPrivateBytes = 57696 KB;  AppDomainAssemblies = 31  
 Cycle = 0640: MemoryPrivateBytes = 57828 KB;  AppDomainAssemblies = 33  
 Cycle = 0650: MemoryPrivateBytes = 58728 KB;  AppDomainAssemblies = 26  
 Cycle = 0660: MemoryPrivateBytes = 59040 KB;  AppDomainAssemblies = 33  
 Cycle = 0670: MemoryPrivateBytes = 59332 KB;  AppDomainAssemblies = 23  
 Cycle = 0680: MemoryPrivateBytes = 59852 KB;  AppDomainAssemblies = 31  
 Cycle = 0690: MemoryPrivateBytes = 60228 KB;  AppDomainAssemblies = 33  
 Cycle = 0700: MemoryPrivateBytes = 60600 KB;  AppDomainAssemblies = 25  
 Cycle = 0710: MemoryPrivateBytes = 60980 KB;  AppDomainAssemblies = 33  
 Cycle = 0720: MemoryPrivateBytes = 61492 KB;  AppDomainAssemblies = 33  
 Cycle = 0730: MemoryPrivateBytes = 62460 KB;  AppDomainAssemblies = 27  
 Cycle = 0740: MemoryPrivateBytes = 62652 KB;  AppDomainAssemblies = 33  
 Cycle = 0750: MemoryPrivateBytes = 63032 KB;  AppDomainAssemblies = 33  

 Cycle = 0760: MemoryPrivateBytes = 64084 KB;  AppDomainAssemblies = 25  
 Cycle = 0770: MemoryPrivateBytes = 64432 KB;  AppDomainAssemblies = 33  
 Cycle = 0780: MemoryPrivateBytes = 64564 KB;  AppDomainAssemblies = 33  
 Cycle = 0790: MemoryPrivateBytes = 65308 KB;  AppDomainAssemblies = 26  
 Cycle = 0800: MemoryPrivateBytes = 65512 KB;  AppDomainAssemblies = 33  
 Cycle = 0810: MemoryPrivateBytes = 66164 KB;  AppDomainAssemblies = 33  
 Cycle = 0820: MemoryPrivateBytes = 66428 KB;  AppDomainAssemblies = 33  
 Cycle = 0830: MemoryPrivateBytes = 67264 KB;  AppDomainAssemblies = 28  
 Cycle = 0840: MemoryPrivateBytes = 67664 KB;  AppDomainAssemblies = 33  
 Cycle = 0850: MemoryPrivateBytes = 67996 KB;  AppDomainAssemblies = 33  
 Cycle = 0860: MemoryPrivateBytes = 68364 KB;  AppDomainAssemblies = 23  
 Cycle = 0870: MemoryPrivateBytes = 68728 KB;  AppDomainAssemblies = 32  
 Cycle = 0880: MemoryPrivateBytes = 69240 KB;  AppDomainAssemblies = 33  
 Cycle = 0890: MemoryPrivateBytes = 69380 KB;  AppDomainAssemblies = 33  
 Cycle = 0900: MemoryPrivateBytes = 70248 KB;  AppDomainAssemblies = 28  
 Cycle = 0910: MemoryPrivateBytes = 70712 KB;  AppDomainAssemblies = 33  
 Cycle = 0920: MemoryPrivateBytes = 70908 KB;  AppDomainAssemblies = 33  
 Cycle = 0930: MemoryPrivateBytes = 71048 KB;  AppDomainAssemblies = 33  
